t_vec,mach,alt,T_inf,qbar_inf,Re_inf,bl_state,q_conv,h_coeff,q_rad,q_net,T_e,T_recovery,T_t,T_te,T_wall:y=0.0003,T_wall:y=0.0010,T_wall:y=0.0016,T_wall:y=0.0022,T_wall:y=0.0029,T_wall:y=0.0035,T_wall:y=0.0041,T_wall:y=0.0048,T_wall:y=0.0054,T_wall:y=0.0060,T_wall:y=0.0067,T_wall:y=0.0073,T_wall:y=0.0079,T_wall:y=0.0086,T_wall:y=0.0092
0.855,0.5285855974691974,77.6623804153713,287.64520069457376,19635.546594427822,2445925.9126463765,1,4812.175902745327,420.8528063944903,-12.770357181134509,4799.405545564193,287.64520069457376,301.99212168949265,303.7189717852604,303.7189717852604,290.5577773543034,290.0326036063175,290.00109513851214,289.9999760591861,289.9999927735708,289.9999993132151,289.99999995291716,289.9999999947394,289.99999995291716,289.9999993132151,289.9999927735708,289.9999760591861,290.00109513851214,290.0326036063175,290.5577773543034
0.86,0.5320312659148659,78.59877114776202,287.6391143044289,19890.163616936115,2461662.8247313774,1,4906.2891309008755,422.96705600739523,-12.867488476016874,4893.421642424859,287.6391143044289,302.1733888960934,303.9227826722977,303.9227826722977,290.57369321952257,290.03395268878955,290.0011781862633,289.9999791630693,289.9999927457654,289.9999992970918,289.9999999512833,289.99999999451086,289.9999999512833,289.9999992970918,289.9999927457654,289.9999791630693,290.0011781862633,290.03395268878955,290.57369321952257
0.865,0.5354769343605343,79.53516188015277,287.63302791607725,20146.392091257152,2477397.0658766837,1,5001.4421138241805,425.0773246848932,-12.965965862819118,4988.476147961362,287.63302791607725,302.3558675563263,304.12795064838895,304.12795064838895,290.58990916856305,290.03533811938405,290.0012644753491,289.999982476864,289.99999272655015,289.99999928097617,289.99999994961365,289.9999999942746,289.99999994961365,289.99999928097617,289.99999272655015,289.999982476864,290.0012644753491,290.03533811938405,290.58990916856305
0.87,0.5389226028062027,80.47155261254349,287.6269415295186,20404.231468495287,2493128.6363409352,1,5097.637517440254,427.18363003096647,-13.065803522414196,5084.57171391784,287.6269415295186,302.53955759434547,304.334475626824,304.334475626824,290.6064282347988,290.03676052836084,290.00135408795916,289.99998600830406,289.9999927164518,289.9999992648916,289.99999994790846,289.99999999403053,289.99999994790846,289.9999992648916,289.9999927164518,289.99998600830406,290.00135408795916,290.03676052836084,290.6064282347988
0.875,0.5423682712518713,81.40794334493422,287.62085514475314,20663.681199854767,2508857.536382752,1,5194.877966338838,429.28598932237196,-13.167015671076046,5181.710950667762,287.62085514475314,302.72445893430563,304.5423575208934,304.5423575208934,290.62325345462307,290.0382205510492,290.0014471075773,289.9999897653074,289.99999271601536,289.99999924886265,289.999999946168,289.99999999377843,289.999999946168,289.99999924886265,289.99999271601536,289.9999897653074,290.0014471075773,290.0382205510492,290.62325345462307
0.88,0.5458139396975397,82.34433407732496,287.61476876178074,20924.740736639655,2524583.76626074,1,5293.166043891028,431.38441951521975,-13.269616560288357,5279.896427330739,287.61476876178074,302.9105715003609,304.7515962438873,304.7515962438873,290.64038786730487,290.0397188278321,290.00154361898905,289.9999937559783,289.9999927258046,289.99999923291534,289.99999994439247,289.9999999935182,289.99999994439247,289.99999923291534,289.9999927258046,289.9999937559783,290.00154361898905,290.0397188278321,290.64038786730487
0.885,0.5492596081432082,83.2807248097157,287.6086823806014,21187.409530253884,2540307.3262334913,1,5392.504292367792,433.4789372513858,-13.373620476555885,5379.1306718912365,287.6086823806014,303.0978952166658,304.96219170909615,304.96219170909615,290.6578345148455,290.04125600412954,290.00164370828855,289.99999798860983,289.99999274640237,289.9999992170771,289.9999999425824,289.9999999932497,289.9999999425824,289.9999992170771,289.99999274640237,289.99999798860983,290.00164370828855,290.04125600412954,290.6578345148455
0.89,0.5527052765888766,84.21711554210643,287.6025960012152,21451.68703220121,2556028.2165595815,1,5492.8952130585285,435.5695588647578,-13.479041741225888,5479.4161713173025,287.6025960012152,303.28643000737475,305.1741438298104,305.1741438298104,290.67559644183615,290.0428327303826,290.00174746288604,290.0000024716867,289.9999927784112,289.9999992013768,289.99999994073823,289.99999999297273,289.99999994073823,289.9999992013768,289.9999927784112,290.0000024716867,290.00174746288604,290.0428327303826,290.67559644183615
0.895,0.556150945034545,85.15350627449716,287.5965096236221,21717.572694085186,2571746.4374975697,1,5594.341266390582,437.65630038732854,-13.585894710318383,5580.755371680263,287.5965096236221,303.47617579664217,305.38745251932056,305.38745251932056,290.6936766953164,290.0444496620363,290.00185497151455,290.0000072138877,289.99999282245346,289.99999918584473,289.99999993886047,289.99999999268726,289.99999993886047,289.99999918584473,289.99999282245346,290.0000072138877,290.00185497151455,290.0444496620363,290.6936766953164
0.9,0.5595966214524215,86.08991161334522,287.5904231528827,21985.06655587732,2587462.0227695685,1,5696.845085137176,439.7391818540256,-13.694194184127054,5683.150890953049,287.5904231528827,303.66713286655096,305.60211810323335,305.60211810323335,290.71207832463324,290.0461074595227,290.00196632423706,290.00001222408855,289.999992879172,289.99999917051275,289.99999993694973,289.99999999239304,289.99999993694973,289.99999917051275,289.999992879172,290.00001222408855,290.00196632423706,290.0461074595227,290.71207832463324
