t_vec,mach,alt,q_conv,q_net,T_recovery,T_wall:x=0.0000,T_wall:x=0.0010,T_wall:x=0.0020,T_wall:x=0.0030,T_wall:x=0.0040,T_wall:x=0.0050,T_wall:x=0.0060,T_wall:x=0.0070,T_wall:x=0.0080,T_wall:x=0.0090,T_wall:x=0.0100
8.275,2.3859057884,22404.66252,28536.71342563927,28522.014961591,445.5731745800168,293.26576695059185,293.0669451312933,292.84170213450034,292.5918974999908,292.3196262210884,292.02719859754626,291.71711865029386,291.3920603303806,291.0548419797605,290.70839929232085,290.35575706126514
8.28,2.3850127884,22416.76252,28459.32075601394,28444.666569598896,445.4292029370154,293.25609179173506,293.05782571859163,292.83322455203785,292.5841430158357,292.3126691494225,292.0211058022842,291.7119487837381,291.38786322983486,291.05165814988106,290.7062594862199,290.35468196072577
8.285,2.3841212602,22428.847802,28382.444985210906,28367.83492582787,445.28680667558933,293.24644858810296,293.0487360182785,292.8247750196898,292.5764141816235,292.3057351561993,292.0150332511824,291.7067961187979,291.38368010969094,291.0484849346051,290.70412681854856,290.35361044806933
8.290000000000001,2.3832297602,22440.932802000003,28305.646245096334,28291.080160843027,445.1437927155587,293.23683763358315,293.03967623073794,292.8163532827669,292.5687109382191,292.2988241507182,292.00898087235805,291.70166059380483,291.37951092004465,291.0453222958359,290.70200126363665,290.3525425104091
8.295,2.3823393287671233,22453.011710828916,28228.73545602125,28214.21319800146,444.9988138088992,293.2272582806683,293.03064643155636,292.8079593111475,292.561033148096,292.2919360596685,292.00294859095874,291.69654214762517,291.37535561100674,291.04217019569035,290.6998827959371,290.3514781348938
8.3,2.3814489178082194,22465.090502949704,28152.584079694254,28138.105502662427,444.85731362890186,293.2177097406474,293.02164641025473,292.7995930741243,292.5533807329633,292.28507078704297,291.99693633739935,291.6914407182713,291.37121413295085,291.03902859639936,290.69777139002724,290.350417308726
8.305,2.3805598910000003,22477.155765,28076.05101335795,28061.61596656643,444.7120501679235,293.2081932255331,293.01267581882325,292.7912544625169,292.5457536248391,292.278228252069,291.9909440355973,291.68635624539985,291.3670864360767,291.03589746036255,290.6956670205804,290.3493600191676
8.31,2.379670891,22489.220765000002,28000.306473515408,27985.91481396543,444.5704551783231,293.19870705044633,293.00373493013564,292.7829432989318,292.5381517371068,292.27140838000764,291.98497161328373,291.6812886668739,291.36297247115584,291.0327767500051,290.6935696623787,290.34830625353214
8.315,2.378782872,22501.28086,27924.74721617553,27910.398794463403,444.42872937933157,293.1892526248554,292.9948231859244,292.77465959271956,292.5305749559172,292.26461109287277,291.9790190008343,291.67623792151494,291.35887218852673,291.02966642799487,290.69147929026445,290.3472559991867
8.32,2.3778948719999997,22513.34086,27848.894597393813,27834.589266520037,444.28416170632056,293.17982943225655,292.9859409030133,292.76640311479133,292.5230232223226,292.2578363031861,291.9730861286536,291.6712039492045,291.35478553880824,291.0265664569463,290.68939587920084,290.34620924353567
8.325,2.377008834,22525.386144999997,27773.70782498191,27759.445443558092,444.1420823197086,293.1704362545178,292.97708792217367,292.75817388320814,292.51549640880256,292.25108393948915,291.96717292424495,291.66618669025905,291.3507124730535,291.02347679959564,290.6873194041831,290.3451659740367
8.33,2.3761228340000002,22537.431145,27698.745425165485,27684.525846677654,444.0002954233124,293.1610742214947,292.96826377988333,292.74997180459025,292.50799445743513,292.2443539106151,291.9612793198925,291.66118608427837,291.3466529426423,291.02039741887796,290.6852498402765,290.3441261781751
8.335,2.375237901809819,22549.470058994102,27624.382336267194,27610.205415762786,443.8608767857779,293.15174300063154,292.9594686903396,292.74179667003966,292.5005172865852,292.2376461449659,291.9554052423113,291.65620207240323,291.34260689887697,291.0173282779268,290.6831871626465,290.34308984346876
8.34,2.37435299030097,22561.508855114487,27549.422656891395,27535.288246573844,443.71676821532606,293.1424432230129,292.95070253299144,292.73364846061753,292.49306477415644,292.2309605668969,291.9495506237776,291.65123459430254,291.338574293636,291.014269339945,290.68113134656915,290.3420569574804
8.345,2.3734689728,22573.53412,27475.051204971252,27460.959166683406,443.5748281048157,293.1331727885986,292.94196548179093,292.72552708670764,292.48563684969105,292.2242970874645,291.94371539638547,291.6462835913078,291.3345550784924,291.0112205683937,290.6790823673941,290.3410275078247
8.35,2.3725849728,22585.559119999998,27400.812799697705,27386.762990140083,443.4326380645291,293.12393283102955,292.9332568348373,292.7174325562784,292.47823342973805,292.2176556313667,291.93789948815595,291.6413490050971,291.3305492055875,291.0081819267343,290.677040200601,290.3400014821579
8.355,2.371702444,22597.574312,27327.096919514304,27313.089197440935,443.29226354160977,293.1147229096217,292.9245767687923,292.70936460072926,292.47085446521305,292.21103612163586,291.93210283067697,291.6364307762461,291.32655662735834,291.0051533786693,290.67500482172426,290.33897886819386
8.36,2.370819944,22609.589311999996,27253.40038844416,27239.434610010027,443.1509527647149,293.1055436017491,292.9159250935525,292.7013231809114,292.4634998216404,292.20443849388136,291.9263253556856,291.63152884632234,291.3225772960364,291.00213488809646,290.67297620641807,290.3379596536833
8.365,2.3699384248,22621.594504,27179.928281492153,27166.004306215636,443.00968426972906,293.09639417991787,292.9073019360165,292.6933081726707,292.4561694216373,292.19786265818584,291.92056699964854,291.62664315718115,291.31861116419896,290.99912641894485,290.6709543304541,290.33694382642966
8.370000000000001,2.3690569247999997,22633.599504000005,27106.69606921042,27092.813756688425,442.86883778620165,293.08727463538804,292.8987070415323,292.6853195546486,292.44886316735113,292.19130853806485,291.9148276917858,291.6217736525185,291.3146581846408,290.9961279353128,290.6689391696693,290.33593137429324
8.375,2.368176896,22645.5996,27033.16282579207,27019.322035941554,442.72485656939534,293.07818490651647,292.89014032084845,292.67735719856165,292.441580994707,292.1847760516276,291.90910736434483,291.61692027417456,291.3107183109177,290.99313940144896,290.6669306999989,290.33492228517457
8.38,2.367296896,22657.599600000005,26960.324499573497,26946.52509778108,442.5841080564476,293.0691238041466,292.8816016807705,292.66942101176056,292.43432281131885,292.1782651280124,291.90340594800426,291.61208296472216,291.3067914962323,290.99016078194484,290.6649288974743,290.33391654702046
8.385,2.3664179630036997,22669.583712628737,26887.743441437364,26873.985287428663,442.4434913433133,293.06009257583554,292.8730906500148,292.6615109014987,292.42708853213895,292.17177568946005,291.89772337701646,291.6072616662977,291.30287769404936,290.98719204140957,290.6629337382911,290.3329141478252
8.39,2.3655390508949106,22681.567514248574,26815.32677565466,26801.609730336186,442.3028430599154,293.0510909713286,292.8646074812191,292.6536266470326,292.41987807197796,292.16530765984135,291.892059584209,291.60245632222643,291.29897685777007,290.98423314460496,290.660945198718,290.33191507565465
8.395,2.3646620138000003,22693.542684999997,26743.721303876235,26730.04522941875,442.1658563115119,293.0421187219942,292.85615209005493,292.6457682377961,292.41269130198646,292.1588609629916,291.8864145029415,291.59766687568805,291.29508894123904,290.98128405634327,290.65896325512415,290.33091931862185
8.4,2.3637850138,22705.517685,26671.73710975828,26658.10186320221,442.02547712634396,293.03317695962556,292.8477243540402,292.6379355969376,292.40552815232553,292.1524355078489,291.88078806667545,291.59289327015387,291.29121389840543,290.97834474164006,290.656987883943,290.3299268648893
8.405,2.3629085041,22717.482879,26599.978497645465,26586.383944106787,441.8852233465709,293.02426392376753,292.83932459936227,292.6301286342762,292.39838854341065,292.14603121914115,291.87518020386307,291.5881354492567,291.2873516834215,290.9754151656323,290.65501906171545,290.32893770265684
8.41,2.3620320041,22729.447879,26528.395461202086,26514.841464879966,441.7450235217008,293.0153798231732,292.83095228828074,292.6223474070003,292.39127239348824,292.13964802139304,291.86959084691074,291.5833933550206,291.28350225060007,290.97249529360164,290.6530567650705,290.32795182017315
8.415000000000001,2.361156975,22741.403073,26457.07956581868,26443.56599164354,441.6051325165022,293.0065245055844,292.8226073460544,292.6145917189987,292.38417967092835,292.13328583968286,291.86401992882395,291.5786669303914,291.2796655537984,290.9695850909604,290.65110097073114,290.3269692057323
