t_vec,mach,alt,T_inf,qbar_inf,Re_inf,bl_state,q_conv,h_coeff,q_rad,q_net,T_e,T_recovery,T_t,T_te,T_wall:y=0.0000,T_wall:y=0.0011,T_wall:y=0.0022,T_wall:y=0.0033,T_wall:y=0.0044,T_wall:y=0.0056,T_wall:y=0.0067,T_wall:y=0.0078,T_wall:y=0.0089,T_wall:y=0.0100
4.255,1.838126512164635,1590.266617653478,277.81585226999573,197787.47362521652,7407644.02682024,1,149835.13169152744,1132.3060597211086,-184.38342593262513,149650.7482655948,313.1874233378345,448.7258856388409,465.54764050327714,465.5475010436745,316.39847256429425,307.90969327758563,301.5207817315162,297.0709995839583,294.1624404003226,292.36146920707927,291.2993062182417,290.7035469547072,290.39346277231317,290.2626754540613
4.26,1.8374431826645201,1593.3071959961278,277.79609840507027,197566.5946723104,7402799.366343562,1,149523.36982142352,1131.526498244575,-184.6227191996329,149338.7471022239,313.1580961847868,448.56978931703674,465.37499418944907,465.3751001659943,316.42673296494,307.9443489698102,301.5527846383269,297.09643554244917,294.18071975561907,292.37366231298273,291.3070036287232,290.70826166482755,290.3964218429348,290.2648339352649
4.265,1.8367598531644052,1596.3477743387775,277.77634455903745,197345.9026243434,7397956.7121992055,1,149212.23166450276,1130.7476024460252,-184.86062806305242,149027.3710364397,313.1288392441199,448.4136672500657,465.2024196348495,465.20266403182524,316.4547479105704,307.9788553348341,301.58472294677154,297.1218617694234,294.19901677576706,292.3858816689913,291.31472600929686,290.7129966260536,290.3993966754641,290.2670056291961
4.2700000000000005,1.83607652366429,1599.3883526814277,277.75659073189723,197125.39736481264,7393116.063815846,1,148900.86505424874,1129.9702391833493,-185.0971645785513,148715.76788967018,313.1002338432131,448.25666726654805,465.02991682838126,465.0291738796278,316.4825196908896,308.0132121845314,301.6165961640154,297.147277811515,294.21733115031265,292.3981271122911,291.32247330320683,290.7177518421778,290.4023873019188,290.26919057792594
4.275,1.835393194164175,1602.4289310240772,277.7368369236496,196905.07877726847,7388277.42062224,1,148592.13247794466,1129.1914706769521,-185.3323350739158,148406.80014287075,313.07031755604396,448.1016674363932,464.85748575894735,464.85807030648516,316.51004959600743,308.0474193666409,301.6484038029039,297.17268321706524,294.23566256887995,292.4103984793819,291.33024545294603,290.7225273164589,290.4053937540165,290.27138882335953
4.28,1.83470986466406,1605.469509366727,277.7170831342946,196684.94674531516,7383440.782047266,1,148282.83954726628,1128.4145594868858,-185.56616428939125,148097.27338297688,313.0412744922839,447.9454653954152,464.6851264154506,464.6855249733709,316.53734211252026,308.0814767471788,301.6801453823954,297.1980775361613,294.25401072118535,292.42269560608895,291.33804240026103,290.7273230516228,290.4084160631733,290.27360040723386
4.285,1.834026535163945,1608.5100877093764,277.6973293638321,196465.00115260997,7378606.147519906,1,147974.65445799942,1127.6377913699612,-185.79865587513,147788.85580212428,313.01195891975766,447.78973973190557,464.51283878679413,464.51354468176413,316.56439805705287,308.1153842626905,301.71182042768964,297.22346032068094,294.27237529705224,292.435018327574,291.3458640861566,290.73213904986227,290.41145426050224,290.27582537111556
4.29,1.8333432056638301,1611.5506660520261,277.67757561226216,196245.2418828643,7373773.51646924,1,147666.63562096338,1126.8621266248072,-186.02982421713972,147480.60579674624,312.98301635727626,447.63354741003786,464.34062286188066,464.3410018019397,316.59122010842157,308.1491418574573,301.7434284712155,297.24883112433827,294.29075598642595,292.44736647834725,291.3537104509007,290.7369753128376,290.4145083768114,290.27806375639875
4.295,1.8326598761637152,1614.5912443946759,277.65782187958473,196025.6688198428,7368942.888324463,1,147359.9126669454,1126.0863979506235,-186.25967736501025,147173.65298958038,312.95366516758,447.4780288571758,464.1684786296134,464.16926010067965,316.6178098410086,308.1827495140935,301.77496905255015,297.2741895027445,294.3091524793893,292.4597398922782,291.36158143402884,290.74183184167697,290.4175784426027,290.28031560430287
4.3,1.8319765466636002,1617.6318227373254,277.6380681657997,195806.28184736395,7364114.262514876,1,147052.5974284319,1125.3125434362214,-186.48823055555854,146866.10919787636,312.9252091955456,447.32128576589196,463.9964060788952,463.9960492044272,316.6441700737515,308.2162072341716,301.8064417188472,297.2995350134654,294.32756446617896,292.4721384026074,291.36947697434937,290.7467086369768,290.4206644880701,290.28258095587046
