t_vec,mach,alt,T_inf,qbar_inf,Re_inf,bl_state,q_conv,h_coeff,q_rad,q_net,T_e,T_recovery,T_t,T_te,T_wall:y=0.0006,T_wall:y=0.0017,T_wall:y=0.0029,T_wall:y=0.0040,T_wall:y=0.0052,T_wall:y=0.0064,T_wall:y=0.0075,T_wall:y=0.0087,T_wall:y=0.0098,T_wall:y=0.0110,T_wall:y=0.0121
9.91,4.273220454596363,5636.652814008541,251.54421568213684,634170.1540254161,5809395.930693074,1,1260898.8682544618,2019.3463375763642,-1706.7168937549168,1259192.151360707,340.92524744962117,1076.1029624294024,1170.204471601101,1170.1839737842365,451.6935459804128,392.9244147889687,356.7967892767167,336.1157908567191,325.6978436019047,322.54773583199204,325.6978436019047,336.1157908567191,356.7967892767167,392.9244147889687,451.6935459804128
9.915000000000001,4.276081768756939,5643.417799458978,251.50032120194476,634437.5159115561,5809279.079362781,1,1261536.5897525665,2018.8876701356046,-1714.631361345009,1259821.9583912215,340.9345052140713,1077.025690050971,1171.2307230721474,1171.2245154743207,452.1585375026414,393.2704982539314,357.03289646419,336.27266524301933,325.8089351126623,322.6440368666904,325.8089351126623,336.27266524301933,357.03289646419,393.2704982539314,452.1585375026414
9.92,4.278943082917513,5650.182784909413,251.4564268150963,634704.3217558225,5809158.9762355,1,1262193.3751417787,2018.4269368741072,-1722.5507171738534,1260470.824424605,340.94302590260537,1077.9575749631483,1172.257368956882,1172.2754098281441,452.62239335062503,393.6167182443239,357.2694735766303,336.43005092332663,325.920500353266,322.74079005676,325.920500353266,336.43005092332663,357.2694735766303,393.6167182443239,452.62239335062503
9.925,4.281804397078089,5656.94777035985,251.41253252159117,634970.5714873836,5809035.624772738,1,1262806.6956203352,2017.9743479367787,-1730.475510813142,1261076.220109522,340.95367472288274,1078.864513442616,1173.284408825433,1173.2981062989859,453.08515360513525,393.96306041025224,357.50651615024753,336.587946691119,326.0325395681238,322.83799606174784,326.0325395681238,336.587946691119,357.50651615024753,393.96306041025224,453.08515360513525
9.93,4.284665711238663,5663.712755810286,251.3686383214291,635236.2650365053,5808909.028434108,1,1263418.0115751368,2017.5231171953706,-1738.4051397152036,1261679.6064354216,340.96454843417314,1079.7691120321424,1174.3118422479286,1174.3181595454103,453.5467898158507,394.3095113849272,357.74401961992766,336.7463513122638,326.14505298581133,322.93565552851,326.14505298581133,336.7463513122638,357.74401961992766,394.3095113849272,453.5467898158507
9.935,4.287527025399239,5670.477741260724,251.32474421460975,635501.4023345496,5808779.190677313,1,1264039.6633284437,2017.07119513769,-1746.3397613705647,1262293.323567073,340.9750793862674,1080.6781403737402,1175.3396687945012,1175.3432217912232,454.0073186518737,394.6560577055391,357.98197933693507,336.9052635240713,326.2580408189398,323.0337690911152,326.2580408189398,336.9052635240713,357.98197933693507,394.6560577055391,454.0073186518737
9.94,4.290388339559813,5677.242726711158,251.28085020113286,635765.9833139735,5808646.114958158,1,1264668.334511464,2016.619083597577,-1754.27975618822,1262914.0547552758,340.98541657513346,1081.5898316415403,1176.3678880352818,1176.3712957708117,454.46676968214416,395.0026865045817,358.22039056956487,337.0646820346453,326.3715032640119,323.13233737074796,326.3715032640119,337.0646820346453,358.22039056956487,395.0026865045817,454.46676968214416
9.945,4.293249653720389,5684.007712161596,251.23695628099807,636030.0079083281,5808509.80473055,1,1265318.3781648008,2016.1644033133687,-1762.2254380164572,1263556.1527267843,340.9949020578798,1082.512073393798,1177.396499540407,1177.4112970018891,454.92516823597737,395.3493856875632,358.45924851433216,337.2246055222615,326.48544050127117,323.2313609756101,326.48544050127117,337.2246055222615,358.45924851433216,395.3493856875632,454.92516823597737
9.950000000000001,4.296110967880964,5690.772697612033,251.19306245420515,636293.4760522534,5808370.263446486,1,1265917.2245897343,2015.7189379693561,-1770.177382165593,1264147.0472075688,341.0068435936258,1083.4052420711143,1178.4255028800114,1178.418437631715,455.38255461002177,395.6961438434739,358.6985483095264,337.3850326349341,326.59985269454444,323.3308405008203,326.59985269454444,337.3850326349341,358.6985483095264,395.6961438434739,455.38255461002177
9.955,4.2989722820415395,5697.537683062468,251.1491687207538,636556.3876814826,5808227.49455607,1,1266563.6375482178,2015.266624626837,-1778.1348080614869,1264785.5027401564,341.0167378598178,1084.3232907971083,1179.4548976242343,1179.4537026310727,455.8388897403773,396.04295045178236,358.9382850469761,337.5459619901992,326.71473999108133,323.4307765283124,326.71473999108133,337.5459619901992,358.9382850469761,396.04295045178236,455.8388897403773
