Time (sec),Mach Number,Altitude (ft)
275.8,0.0,1950.1310697253066
275.81,0.0,1950.1114272271598
275.82,0.0,1950.1024373985404
275.83,0.0,1950.1044370964805
275.84,0.0,1950.1177631780113
275.85,0.0,1950.142752500164
275.86,0.0,1950.203732261342
275.87,0.0,1950.2729127114521
275.88,0.0,1950.3507709199232
275.89,0.0,1950.3843132851991
275.9,7.889107208981232e-05,1950.4191327553551
275.91,0.000228093270962162,1950.4554411683177
275.92,0.00036369880325240125,1950.4934503620143
275.93,0.0004831961943658144,1950.5333721743716
275.941,0.0005840739697076856,1950.5754184433172
275.951,0.0006638206546832993,1950.6168300666698
275.961,0.000781330991232328,1950.6613020535171
275.971,0.0008927909797212245,1950.6814621654842
275.981,0.0009963016007823045,1950.7007642904375
275.991,0.0010899638350478844,1950.7192661628942
276.001,0.00117187866315028,1950.7370255173703
276.011,0.0012401470657218072,1950.754100088384
276.021,0.0012928700233947818,1950.7705476104518
276.031,0.0013939050510801932,1950.763623852762
276.041,0.001490541262013201,1950.7601198884934
276.051,0.001574286151900021,1950.759960185269
276.061,0.0016531424367408343,1950.7983371000885
276.071,0.0017258078364725594,1950.8454178189163
276.081,0.0017909800710321148,1950.9013017493046
276.091,0.0018473568603564197,1950.9660882988048
276.101,0.0018936359243823923,1951.039876874969
276.111,0.0019285149830469514,1951.1227668853485
276.121,0.001950691756287016,1951.1780180801577
276.131,0.0020000028059189395,1951.1412797403857
276.141,0.0020467887726234434,1951.1032584354632
276.151,0.002090161782545769,1951.0633043265036
276.161,0.0021292339618311567,1951.02076757462
276.171,0.0021631174366248474,1950.974998340926
276.181,0.002190924333072082,1950.9253467865337
276.191,0.0022380693421374907,1950.8711630725575
276.201,0.002283339880787696,1950.8117973601093
276.211,0.0023261261149651827,1950.7488280153843
276.221,0.0023607630133874445,1950.6789928211242
276.231,0.002393026254281169,1950.6817296976865
276.241,0.0024222377823037546,1950.6888387701524
276.251,0.0024477195421125997,1950.7000804185727
276.261,0.0024687934783651027,1950.7152150229963
276.271,0.0024847815357186614,1950.7340029634724
276.281,0.0025184536356747836,1950.756204620052
276.291,0.0025510128316931467,1950.80739681786
276.301,0.0025820289328798186,1950.8687510720292
276.311,0.00260864229418979,1950.9364114113748
276.322,0.0026334915089199626,1951.010284939757
276.332,0.0026561136000205184,1951.0902787610348
276.342,0.0026760455904416415,1951.176299979069
276.352,0.002692824503133513,1951.2682556977188
276.362,0.002705987361046316,1951.3660530208444
276.372,0.002731074517111205,1951.4592750354304
276.382,0.002755256784747611,1951.539542249181
276.392,0.0027782403552987505,1951.6239060090734
276.402,0.0027975935682134135,1951.712111935958
276.412,0.002815723059333039,1951.8039056506855
276.422,0.002832306169098084,1951.8990327741044
276.432,0.0028470202379490064,1951.9972389270656
276.443,0.002859542606326263,1952.1165410120823
276.453,0.002869550614670311,1952.235263147364
276.463,0.002886026599484871,1952.353257740913
276.473,0.002913216276649837,1952.4421103812072
276.483,0.002936042380081864,1952.525523605221
276.493,0.0029544392972575937,1952.6032096085576
276.503,0.002968341415653672,1952.6748805868206
276.513,0.0029776831227467417,1952.740248735613
276.523,0.002982398806013447,1952.8154406946346
276.533,0.0029824228529304326,1952.880924138823
276.543,0.002993427209609499,1952.9365071985815
276.553,0.002999848748756706,1952.981998004312
276.563,0.0030018081135040698,1953.020705221342
276.573,0.002999425946983605,1953.0494834037302
276.583,0.0029928228923273253,1953.0681580456433
276.593,0.0029821195926672474,1953.076554641248
276.603,0.0029674366911353854,1953.0744986847112
276.613,0.002948894830863755,1953.0618156701992
276.623,0.002931765935637668,1953.0661836553902
276.633,0.0029161175013332117,1953.054773404817
276.643,0.002897152713100031,1953.0544398034915
276.653,0.002875129953312762,1953.0425024324372
276.663,0.0028503076043460427,1953.019082838005
276.673,0.00282294404857451,1952.9843025665477
276.683,0.0027932976683728004,1952.9382831644164
276.693,0.0027616268461155514,1952.881146177962
276.703,0.0027281899641774005,1952.7456470865902
276.713,0.0026932454049329838,1952.6108883427278
276.723,0.0026650131878910807,1952.4765977693662
276.733,0.0026352159956996553,1952.385909822573
276.743,0.002604210584835078,1952.3019279786804
276.753,0.0025723537117737214,1952.224595371361
276.763,0.0025400021329919555,1952.153855134285
276.773,0.0025075126049661518,1952.0896504011243
276.783,0.0024752418841726825,1952.0319243055496
276.793,0.0024435467270879172,1951.9806199812328
276.803,0.002414822290918947,1951.933303809758
276.813,0.002389579805567479,1951.8927054617263
276.823,0.002366094535300009,1951.8561287786017
276.833,0.0023447795962774584,1951.825718185302
276.843,0.002326048104660747,1951.8013899016644
276.853,0.002310313176610797,1951.7830601475237
276.863,0.002297987928288529,1951.7975321506933
276.873,0.0022894854758548646,1951.8131994320024
276.883,0.002270207281910733,1951.8301353533564
276.893,0.002252166376731594,1951.8484132766596
276.903,0.0022378523217240656,1951.8681065638182
276.913,0.0022246962243760364,1951.8855255016913
276.923,0.002212982679001344,1951.9039185467534
276.933,0.002202996279913827,1951.9233403948629
276.943,0.002195021621427324,1951.9438457418778
276.953,0.002180657511810044,1951.9654892836566
276.963,0.002168553297008021,1951.9883257160573
276.973,0.0021568137454743203,1952.012409734938
276.983,0.0021456539434011475,1952.0144576607336
276.994,0.0021352889769807076,1952.0258844068833
277.004,0.002125933932405206,1952.046597511341
277.014,0.002117803895866847,1952.0765045120597
277.024,0.002111113953557837,1952.1155129469948
277.034,0.0020995027928876293,1952.1635303540988
277.044,0.002088267262744191,1952.2204642713273
277.054,0.0020775529313621934,1952.279697194386
277.064,0.002067505366976307,1952.3417111413783
277.074,0.0020582701378212024,1952.4063945501177
277.084,0.002050574735321641,1952.4736358584164
277.094,0.0020438296668406006,1952.5433235040873
277.104,0.002038188353827193,1952.615345924944
277.114,0.00203380421773053,1952.6895915587993
277.124,0.0020308306799997227,1952.7659488434665
277.134,0.002023216542406554,1952.8249657612946
