Time (sec),Mach Number,Altitude (ft)
0.96,0.45377491304706913,1739.9332965172923
0.97,0.4579912182968062,1738.9037777141777
0.98,0.4620131177743317,1738.1006295910943
0.98,0.4659823628326138,1737.1294622197893
0.99,0.4700077839373935,1736.1515063667161
1.0,0.47420518584385535,1735.7963247396935
1.01,0.4787388001214429,1735.2818337408648
1.02,0.4836463688069334,1734.843128070741
1.03,0.489074708373046,1734.5926571479515
1.04,0.49411706262575,1734.4350608325515
1.05,0.4991514329250217,1734.5980816832189
1.06,0.5042018526545606,1735.0080403077031
1.07,0.50925214522061,1735.454632631487
1.08,0.5143372631163318,1736.361286728591
1.09,0.5194364507037461,1737.1779740658517
1.1,0.5249757167687038,1737.8582481172616
1.11,0.5300145817972811,1738.15741886837
1.12,0.5345739847974624,1739.35663996776
1.13,0.5388324862209014,1740.3212506096972
1.14,0.5429387132084835,1741.1861073728755
1.14,0.5469686080896096,1742.4228951063842
1.15,0.5510822823850798,1743.316318960657
1.16,0.5553890082761165,1744.8947197676362
1.17,0.5600110258325051,1746.279493116158
1.18,0.5650509822181048,1747.9610829936687
1.19,0.5706295968130771,1749.5767776836935
1.2,0.5758048987836496,1751.5290069636515
1.21,0.580935090400458,1753.8927184131542
1.22,0.5860866372467863,1756.2811442253856
1.23,0.5912298152611999,1758.8172521286606
1.24,0.5963635140361779,1761.633365480688
1.25,0.6014889326440802,1764.374828374015
1.26,0.6070540768667402,1767.0477381426308
1.27,0.6120579900570222,1769.8426852850782
1.28,0.6166591910641619,1772.3901830782024
1.29,0.6209586456393962,1775.1429703972983
1.3,0.6251032679860865,1777.9357794924415
1.3,0.629191215480942,1780.8268497897468
1.31,0.6333291681793383,1784.307457578375
1.32,0.6376607949110115,1787.2682906045711
1.33,0.6422650731662026,1790.8486551389988
1.34,0.6473013429240362,1794.125211389532
1.35,0.6528494288528903,1797.248026251096
1.36,0.657984233674913,1800.1297415879835
1.37,0.6631210123426424,1802.8072912785844
1.38,0.6682479995166231,1805.7905458956138
1.39,0.6733624761843947,1809.2449001988668
1.4,0.6784640057678702,1812.4930246825938
1.41,0.6835313276564098,1815.183383161145
1.42,0.6886309027594412,1818.1438476771318
1.43,0.6937419365334793,1821.28792412514
1.44,0.6988542179295345,1824.444833730939
1.45,0.7039306471816783,1826.9066780347787
1.46,0.7090293788052594,1829.6719844752151
1.47,0.7141049809432308,1832.690374858707
1.48,0.7191826127100202,1835.280541661489
1.49,0.7242058048155631,1837.9221926662808
1.5,0.729195598127514,1840.4471444390354
1.51,0.7342025375155286,1842.9161787058135
1.52,0.7391774538221604,1845.292946751091
1.53,0.7441557360759518,1847.3031786396568
1.54,0.7490901961396945,1849.6923255124518
1.55,0.754083008144099,1851.7006071448343
1.56,0.7590609130085769,1853.615567484993
1.57,0.7640606187042371,1855.500931944533
1.58,0.7695022278999584,1857.0334850545948
1.59,0.7744029578891168,1859.1809078658307
1.6,0.7789717582290868,1860.7714345318295
1.61,0.7832385008557978,1862.4997561102605
1.62,0.7872763142398903,1864.4500227101946
1.62,0.7912160071660117,1866.0235361696364
1.63,0.7952098548752372,1867.0002329143047
1.64,0.7993884639774081,1868.209799536436
1.65,0.8037457842284923,1869.3595203299358
1.66,0.808457710875642,1870.5268664430346
1.67,0.8136690584163537,1871.878529397725
1.68,0.8184087644391034,1873.2868842459
1.69,0.823178426828599,1874.6782741493582
1.7,0.82791242434913,1876.0662243693478
1.71,0.8326461650238731,1877.3860648045793
1.72,0.8373751185417915,1878.9498609097461
1.73,0.8421538442451661,1880.6315024895443
1.74,0.8469187499446715,1882.3005507872338
1.75,0.851677926431124,1884.3215935191347
1.76,0.8563733690784677,1886.7341049522208
1.77,0.8611006572794092,1889.2239970306423
1.78,0.8657515493091493,1891.7366009399127
1.79,0.8703865654139283,1894.5484227153172
1.8,0.8749992669634373,1896.8860360730137
1.81,0.8795875521243713,1899.1441631356238
1.82,0.8842471525906748,1900.9119788591731
1.83,0.8889521481516295,1902.974698222616
1.84,0.8936094748444332,1905.45484580545
1.85,0.8982422012562767,1908.5465555765338
1.86,0.9028834264330017,1912.4313795952094
1.87,0.9075718761431828,1916.4471367438923
1.88,0.9121808467083992,1920.9315210434947
1.89,0.9167488616881413,1926.424942299081
1.9,0.9216941597259515,1932.4309567641465
1.91,0.9262132027987761,1938.1316678795206
1.92,0.9303871310029814,1944.4336142961622
1.93,0.9343168930452261,1950.414257750768
1.94,0.9380070239580077,1956.158935689244
1.94,0.9415987304172347,1962.2933128873783
1.95,0.945294004059283,1968.687183583216
1.96,0.9490763260725678,1975.5530070052487
1.97,0.9530913359311294,1982.5791401093463
1.98,0.9574401439112304,1990.0012116300056
1.99,0.9622238118824915,1997.243810459875
2.0,0.9665682790295184,2004.334430079133
2.01,0.9708732167712728,2011.705407697497
2.02,0.9752214649196395,2018.7904762494545
2.03,0.9794558953820255,2025.525184006599
2.04,0.9836455208766315,2033.2422687836488
2.05,0.9878273220710655,2040.069875422456
2.06,0.9919130977751768,2047.6751787056307
2.07,0.9959607242824376,2055.0752005861145
2.08,1.000035071496085,2063.0086009516067
2.09,1.0039904715330215,2070.646444183219
2.1,1.007915656082301,2078.421750037327
2.11,1.012175355446349,2086.3676513662404
2.12,1.0160343139767798,2094.402306792641
2.13,1.019502159419932,2102.979216486515
2.14,1.0227747094708888,2110.8021527630176
2.15,1.0258785264146955,2118.5445485338223
2.15,1.028869034725621,2126.05063837528
2.16,1.0318579915899284,2134.1910299505575
2.17,1.0350284290517162,2142.142170603954
2.18,1.0383142650971087,2149.528440249189
2.19,1.0419223598610958,2156.7384403563005
2.2,1.0458413581220505,2164.4781071828556
2.21,1.049355465784266,2171.730196106295
2.22,1.053060925892206,2178.976421263937
2.23,1.0563361821971988,2186.216990898455
2.24,1.0592764410996482,2193.328052417419
2.25,1.0620392610810405,2200.5898411106214
2.26,1.0647434319815865,2207.7092073932463
2.26,1.067527799938114,2214.05168916837
2.27,1.0704584511786421,2220.603802505994
2.28,1.0735275534020077,2226.5053944043466
2.29,1.076695672124205,2232.4387453650056
2.3,1.080012587841461,2238.061542565603
2.31,1.083627228122057,2243.181051152804
2.32,1.0867047760573936,2248.100891810517
2.33,1.089600320404316,2253.4111864283896
2.34,1.0924268362869172,2258.4307763775996
2.35,1.095197453647371,2262.8865860362343
2.36,1.0979507648505091,2266.3806143435827
2.37,1.1007906390031237,2269.3688594260225
2.38,1.1036230512802279,2272.9588165984837
2.39,1.1065084691194242,2276.484444942985
2.4,1.1094484223415821,2279.6118354092705
2.41,1.1124316432357286,2282.220854624776
2.42,1.115214187234626,2284.823681224995
2.43,1.1179384776286472,2287.7113922115204
2.44,1.1206961623118539,2290.8786254549887
2.45,1.1233761456180085,2293.9406655669573
2.46,1.1260167984149398,2296.424958602942
2.47,1.1288268762535159,2298.8620566243408
2.48,1.131564185503003,2301.6296481912336
2.49,1.1343869468272019,2304.551247017273
2.5,1.137127789378694,2308.5117611789246
2.51,1.1398017844865584,2312.206834646214
2.52,1.1423977181757805,2315.3413028786026
2.53,1.144942818918077,2319.1891442792094
2.54,1.1477028875160844,2323.2289522619944
2.55,1.1501570809047637,2327.6068311858853
2.56,1.1524004555442653,2331.9416731633173
2.57,1.1545565029273719,2336.5880217137747
2.58,1.1565293596582762,2341.397514302051
2.58,1.1585591660329992,2345.6977750941264
2.59,1.160625674851898,2351.001246061206
2.6,1.1628017489772824,2356.7244106871244
2.61,1.165047191250671,2362.142508207448
2.62,1.1673800604913398,2367.8494727193565
2.63,1.1699195566821736,2373.978049704414
2.64,1.1720216485083277,2380.5865607772166
2.65,1.1738638584436436,2387.4510966115813
2.66,1.175422438196905,2395.113103543104
2.67,1.176746790769507,2403.27262878773
2.68,1.1778774398026994,2412.204818543667
2.69,1.1788296350645902,2421.291106061647
2.7,1.1795320325111525,2431.5999767545404
2.71,1.1801519413475963,2441.9577291416576
2.72,1.180681599599268,2452.5597065093343
2.73,1.1811291571880222,2463.0491133737264
2.74,1.1814335763609143,2474.1831425514306
2.75,1.1815385303232526,2485.9398323248324
2.76,1.181513281851605,2497.801681398662
2.77,1.181379292253573,2510.9369477958753
2.78,1.1810341815378615,2524.941958017101
2.79,1.1805428167655547,2539.9343405976097
2.8,1.1799354188488245,2555.4922150915786
2.81,1.1793134818431832,2571.1577449310057
2.82,1.178682333948754,2587.0341332349217
2.83,1.1779204040594253,2603.2266104063438
2.84,1.1772404493254955,2619.0602192239926
2.85,1.1764813857135636,2635.3376254792565
2.86,1.1757812187796712,2651.3050039807313
2.87,1.1750002806215956,2667.9728418332397
2.87,1.1743195174764027,2685.0177812671704
2.88,1.1736249315935507,2701.740111037796
2.89,1.172870214817972,2718.739344119882
2.9,1.1720715561339032,2736.6768921174757
2.9,1.1712549357983093,2754.6187374257706
2.91,1.170273562758212,2773.1330695561765
2.92,1.1693082267722321,2791.4934945827
2.93,1.1681041556774046,2809.493012216596
2.94,1.1667131835799232,2827.193184209942
2.95,1.1652273384602714,2845.645182685531
2.96,1.1637618881518563,2864.513554500923
2.97,1.1621789617734977,2883.017939531581
2.98,1.1605807831492339,2901.546477749669
2.99,1.158951713856753,2921.0502736494773
3.0,1.157343589729448,2940.00011250233
3.01,1.1557294640187548,2959.267009855621
3.02,1.1542245890611795,2978.317731436454
3.03,1.1526013553084526,2997.4638333220782
3.04,1.150997632464184,3016.5909231008504
3.05,1.1494633201979774,3035.787892488178
3.06,1.1479421649478367,3055.3207864548904
3.07,1.1465412954737841,3074.826407512369
3.08,1.1451341183410901,3094.026858250813
3.09,1.1437094222656619,3113.385705017683
3.1,1.1422825238316179,3132.562009258455
3.11,1.1408139177157932,3151.936095680933
3.12,1.1393175280084062,3171.4869408541254
3.13,1.1377501286859084,3190.0755992765753
3.14,1.1360842724830182,3208.737575079688
3.15,1.134352169298606,3227.136306341086
3.16,1.1326641131770596,3245.614505835217
3.17,1.1310558248349933,3263.1850727114884
3.18,1.129311306648232,3280.6733607957035
3.19,1.1277739350895923,3297.661409841414
3.2,1.1264290656788165,3314.8617130266875
3.21,1.1251508809376491,3331.607476931109
3.22,1.1238929308675827,3348.0036542370885
3.22,1.1226846856739943,3364.039457897722
3.23,1.1213450026905796,3380.534922710618
3.24,1.120011187942301,3396.522366191606
3.25,1.1186113867315262,3412.4514313861746
3.26,1.1170571797119444,3428.3876822431207
3.27,1.115359250202991,3444.182865365896
3.28,1.113865980588908,3460.2586596474093
3.29,1.1124346113585453,3475.767591188066
3.3,1.110920618733062,3491.3162525445296
3.31,1.10935287679164,3507.0723385116603
3.32,1.1077696544187776,3522.9919905448987
3.33,1.1062215515451133,3539.5345397046376
3.34,1.104695415143021,3556.149176093739
3.35,1.1031510485631775,3572.3344124600467
3.36,1.1015307092143385,3588.0143951437344
3.37,1.0999795208374388,3603.2120930535734
3.38,1.0984833431749956,3618.74965934747
3.39,1.0970484984451176,3634.2846691017876
3.4,1.0955849051902333,3648.607102415372
3.41,1.094103103892108,3662.470468149544
3.42,1.0926729428990989,3675.9741683016846
